Town,Per capita income,Location,Lat,Lon,County
"Mantoloking, Ocean County, New Jersey","$114,017 ","Mantoloking, Ocean County, New Jersey, USA",40.0393597,-74.0505306,Ocean County
"Saddle River, Bergen County, New Jersey","$85,934 ","Saddle River, Bergen County, New Jersey, United States of America",41.0317637,-74.1020866,Bergen County
"Far Hills, Somerset County, New Jersey","$81,535 ","Far Hills, Somerset County, New Jersey, USA",40.684268,-74.6357148,Somerset County
"Essex Fells, Essex County, New Jersey","$77,434 ","Essex Fells, Essex County, New Jersey, 07021, USA",40.8245442,-74.2845925,Essex County
"Alpine, Bergen County, New Jersey","$76,995 ","Alpine, Bergen County, New Jersey, 07620, USA",40.94855,-73.9281139,Bergen County
"Millburn, Essex County, New Jersey","$76,796 ","Millburn, Essex County, New Jersey, USA",40.7244443,-74.3069069,Essex County
"Rumson, Monmouth County, New Jersey","$73,692 ","Rumson, Monmouth County, New Jersey, USA",40.372054,-73.9990269,Monmouth County
"Harding Township, Morris County, New Jersey","$72,689 ","Harding Township, Morris County, New Jersey, 07976, USA",40.743647,-74.50209229,Morris County
"Teterboro, Bergen County, New Jersey","$72,613 ","Teterboro, Bergen County, New Jersey, 07608, USA",40.8598219,-74.0593075,Bergen County
"Bernardsville, Somerset County, New Jersey","$69,854 ","Bernardsville, Somerset County, New Jersey, 07924, USA",40.7186805,-74.5692273,Somerset County
"Chatham Township, Morris County, New Jersey","$65,497 ","Chatham Township, Morris County, New Jersey, USA",40.73012395,-74.42511146,Morris County
"Tewksbury Township, Hunterdon County, New Jersey","$65,470 ","Tewksbury Township, Hunterdon County, New Jersey, USA",40.68446,-74.77872997,Hunterdon County
"Mountain Lakes, Morris County, New Jersey","$65,086 ","Mountain Lakes, Morris County, New Jersey, 07046, USA",40.8948212,-74.4329314,Morris County
"Sea Girt, Monmouth County, New Jersey","$63,871 ","Sea Girt, Monmouth County, New Jersey, 08750, USA",40.1320592,-74.0345813,Monmouth County
"Ho-Ho-Kus, Bergen County, New Jersey","$63,594 ","Ho-Ho-Kus, Bergen County, New Jersey, United States of America",40.9976524,-74.110284,Bergen County
"Summit, Union County, New Jersey","$62,598 ","Summit, Union County, New Jersey, USA",40.7182356,-74.3592296,Union County
"Mendham Township, Morris County, New Jersey","$61,460 ","Mendham Township, Morris County, New Jersey, USA",40.77872315,-74.56430241,Morris County
"Franklin Lakes, Bergen County, New Jersey","$59,763 ","Franklin Lakes, Bergen County, New Jersey, 07417, USA",41.0167639,-74.2057012,Bergen County
"Spring Lake, Monmouth County, New Jersey","$59,445 ","Spring Lake, Monmouth County, New Jersey, USA",40.1535132,-74.0293941,Monmouth County
"Watchung, Somerset County, New Jersey","$58,653 ","Watchung, Somerset County, New Jersey, 07069, United States of America",40.6378801,-74.4509863,Somerset County
"Millstone Township, Monmouth County, New Jersey","$58,285 ","Millstone Township, Monmouth County, New Jersey, USA",40.2023684,-74.4079671,Monmouth County
