Town,County,Per capita income,Location,Lat,Lon
"Gladwyne, Montgomery County, Pennsylvania",Montgomery County,"$130,400 ","Gladwyne, Montgomery County, Pennsylvania, 19035, USA",40.0397304,-75.2791788
"Norwin, Westmoreland County, Pennsylvania",Westmoreland County,"$124,279 ","Norwin Soccer Club, North Huntingdon Township, Westmoreland County, Pennsylvania, USA",40.30169205,-79.78406268
"Fox Chapel, Allegheny County, Pennsylvania",Allegheny County,"$80,610 ","Fox Chapel, Allegheny County, Pennsylvania, 15238, USA",40.522924,-79.8913193
"Sewickley Heights, Allegheny County, Pennsylvania",Allegheny County,"$74,346 ","Sewickley Heights, Allegheny County, Pennsylvania, 15143, USA",40.5567343,-80.163114
"Edgeworth, Allegheny County, Pennsylvania",Allegheny County,"$69,350 ","Edgeworth, Allegheny County, Pennsylvania, USA",40.5511787,-80.1928368
"Thornburg, Allegheny County, Pennsylvania",Allegheny County,"$57,674 ","Thornburg, Allegheny County, Pennsylvania, USA",40.4345134,-80.0822775
"Rosslyn Farms, Allegheny County, Pennsylvania",Allegheny County,"$56,612 ","Rosslyn Farms, Allegheny County, Pennsylvania, USA",40.4256246,-80.0939445
"Upper Makefield Township, Bucks County, Pennsylvania",Bucks County,"$56,288 ","Upper Makefield Township, Bucks County, Pennsylvania, 18977, USA",40.2956655,-74.9285311
"Lower Merion Township, Montgomery County, Pennsylvania",Montgomery County,"$71,255 ","Lower Merion Township, Montgomery County, Pennsylvania, USA",40.0250214,-75.27688814
"Rose Valley, Delaware County, Pennsylvania",Delaware County,"$54,202 ","Rose Valley, Delaware County, Pennsylvania, USA",39.8962229,-75.3849148
"Haysville, Allegheny County, Pennsylvania",Allegheny County,"$53,151 ","Haysville, Allegheny County, Pennsylvania, USA",40.5255055,-80.1554425
"Solebury Township, Bucks County, Pennsylvania",Bucks County,"$52,985 ","Solebury Township, Bucks County, Pennsylvania, USA",40.3648096,-75.01394043
"Chadds Ford Township, Delaware County, Pennsylvania",Delaware County,"$52,974 ","Chadds Ford Township, Delaware County, Pennsylvania, USA",39.8693998,-75.56553548
"Pennsbury Township, Chester County, Pennsylvania",Chester County,"$52,530 ","Pennsbury Township, Chester County, Pennsylvania, USA",39.86383515,-75.61764723
"Pocopson Township, Chester County, Pennsylvania",Chester County,"$51,883 ","Pocopson Township, Chester County, Pennsylvania, USA",39.9090023,-75.6605945
"Chesterbrook, Chester County, Pennsylvania",Chester County,"$51,859 ","Chesterbrook, Lee Road, Howellville, Tredyffrin Township, Chester County, Pennsylvania, 19087, USA",40.0726519,-75.45624634
"Birmingham Township, Chester County, Pennsylvania",Chester County,"$51,756 ","Birmingham Township, Chester County, Pennsylvania, USA",39.9017975,-75.59313975
"Bradford Woods, Allegheny County, Pennsylvania",Allegheny County,"$51,462 ","Bradford Woods, Allegheny County, Pennsylvania, 15015, USA",40.637567,-80.0817249
"Easttown Township, Chester County, Pennsylvania",Chester County,"$51,028 ","Easttown Township, Chester County, Pennsylvania, USA",40.02768335,-75.43857724
"Villanova, Montgomery County, Pennsylvania",Montgomery County,"$50,204 ","Villanova University Police, North Spring Mill Road, Radnor Township, Delaware County, Pennsylvania, 19085, USA",40.0390583,-75.3398221
"Osborne, Allegheny County, Pennsylvania",Allegheny County,"$50,169 ","Osborne, Allegheny County, Pennsylvania, USA",40.5317345,-80.1689472
"West Pikeland Township, Chester County, Pennsylvania",Chester County,"$48,616 ","West Pikeland Township, Chester County, Pennsylvania, 19425, USA",40.08845545,-75.62286998
"Spring Ridge, Berks County, Pennsylvania",Berks County,"$47,822 ","Spring Ridge, Berks County, Pennsylvania, United States of America",40.3519546,-75.9896141
"Spring House, Montgomery County, Pennsylvania",Montgomery County,"$47,661 ","Spring House, Hedge Row, Lower Gwynedd Township, Montgomery County, Pennsylvania, 19477, USA",40.1868505,-75.22796391
"Tredyffrin Township, Chester County, Pennsylvania",Chester County,"$47,584 ","Tredyffrin Township, Chester County, Pennsylvania, USA",40.0689709,-75.46235478
"Thornbury Township, Chester County, Pennsylvania",Chester County,"$47,505 ","Thornbury Township, Chester County, Pennsylvania, USA",39.9228796,-75.55701267
"Edgmont Township, Delaware County, Pennsylvania",Delaware County,"$46,848 ","Edgmont Township, Delaware County, Pennsylvania, 19028, USA",39.95541765,-75.46432737
"Kennett Township, Chester County, Pennsylvania",Chester County,"$46,669 ","Kennett Township, Chester County, Pennsylvania, USA",39.8323857,-75.68005674
"New Hope, Bucks County, Pennsylvania",Bucks County,"$45,309 ","New Hope, Bucks County, Pennsylvania, USA",40.3642728,-74.9512785
"Willistown, Chester County, Pennsylvania",Chester County,"$45,010 ","Willistown, Chester County, Pennsylvania, 19382-7998, USA",39.9612206,-75.4960355
"Waverly Township, Lackawanna County, Pennsylvania",Lackawanna County,"$44,551 ","Waverly, Lackawanna County, Pennsylvania, 18471, USA",41.5259169,-75.7059395
"Ben Avon Heights, Allegheny County, Pennsylvania",Allegheny County,"$44,191 ","Ben Avon Heights, Allegheny County, Pennsylvania, USA",40.5135017,-80.0726113
"Bala Cynwyd, Montgomery County, Pennsylvania",Montgomery County,"$44,027 ","Bala-Cynwyd, Montgomery County, Pennsylvania, 19004, USA",40.0076125,-75.2340695
"Lower Makefield Township, Bucks County, Pennsylvania",Bucks County,"$43,983 ","Lower Makefield Township, Bucks County, Pennsylvania, 19067, USA",40.2312713,-74.84670236
"Blue Bell, Montgomery County, Pennsylvania",Montgomery County,"$43,813 ","Blue Bell, Montgomery County, Pennsylvania, 19422, USA",40.152331,-75.266289
"West Vincent Township, Chester County, Pennsylvania",Chester County,"$43,500 ","West Vincent Township, Chester County, Pennsylvania, USA",40.1229113,-75.64610123
"Mount Gretna, Lebanon County, Pennsylvania",Lebanon County,"$43,470 ","Mount Gretna, Lebanon County, Pennsylvania, USA",40.2463587,-76.4703213
"Schuylkill Township, Chester County, Pennsylvania",Chester County,"$43,379 ","Schuylkill Township, Chester County, Pennsylvania, USA",40.1060646,-75.49821785
"Fort Washington, Montgomery County, Pennsylvania",Montgomery County,"$43,090 ","Fort Washington, Limekiln Pike, Upper Dublin Township, Montgomery County, Pennsylvania, 19025, USA",40.14785315,-75.18972428
"Marshall Township, Allegheny County, Pennsylvania",Allegheny County,"$42,856 ","Marshall Township, Allegheny County, Pennsylvania, USA",40.6462854,-80.1148673
"Woodside, Bucks County, Pennsylvania",Bucks County,"$42,653 ","Woodside, Buford Drive, Lower Makefield Township, Bucks County, Pennsylvania, 19067, USA",40.2302275,-74.85937839
"Wrightstown Township, Bucks County, Pennsylvania",Bucks County,"$42,623 ","Wrightstown Township, Bucks County, Pennsylvania, USA",40.2659724,-75.0012441
"Upper St. Clair Township, Allegheny County, Pennsylvania",Allegheny County,"$42,413 ","Upper St. Clair, Allegheny County, Pennsylvania, 15241, USA",40.3359029,-80.0833881
"Charlestown Township, Chester County, Pennsylvania",Chester County,"$41,878 ","Charlestown Township, Chester County, Pennsylvania, 19432, USA",40.0859007,-75.54608639
"Lower Gwynedd Township, Montgomery County, Pennsylvania",Montgomery County,"$41,868 ","Lower Gwynedd Township, Montgomery County, Pennsylvania, USA",40.18782115,-75.2363183
"Whitpain Township, Montgomery County, Pennsylvania",Montgomery County,"$41,739 ","Whitpain Township, Montgomery County, Pennsylvania, 19422, United States of America",40.1577071,-75.27600673
