Town,County,Population,Location,Lat,Lon
"Philadelphia, Philadelphia County, Pennsylvania",Philadelphia County,"1,526,006","Philadelphia, Philadelphia County, Pennsylvania, USA",39.9527237,-75.1635262
"Pittsburgh, Allegheny County, Pennsylvania",Allegheny County,"305,704","PGH, Allegheny County, Pennsylvania, USA",40.4416941,-79.9900861
"Allentown, Lehigh County, Pennsylvania",Lehigh County,"118,032","Allentown, Lehigh County, Pennsylvania, USA",40.6022059,-75.4712794
"Erie, Erie County, Pennsylvania",Erie County,"101,786","Erie, Erie County, Pennsylvania, USA",42.1294712,-80.0852695
"Reading, Berks County, Pennsylvania",Berks County,"88,082","Reading, Berks County, Pennsylvania, USA",40.335345,-75.9279495
"Scranton, Lackawanna County, Pennsylvania",Lackawanna County,"76,089","Scranton, Lackawanna County, Pennsylvania, USA",41.4086874,-75.6621294
"Bethlehem, Lehigh & Northampton County, Pennsylvania",Northampton County,"74,982","Bethlehem Municipal Ice Rink, Illick's Mill Road, Bethlehem, Northampton County, Pennsylvania, 18107, USA",40.64025165,-75.38455503
"Lancaster, Lancaster County, Pennsylvania",Lancaster County,"59,322","Lancaster, Lancaster County, Pennsylvania, United States of America",40.03813,-76.3056686
"Levittown, Bucks County, Pennsylvania",Bucks County,"52,983","Levittown, Haines Road, Bristol Township, Bucks County, Pennsylvania, 19055, USA",40.1573365,-74.83227963
"Harrisburg, Dauphin County, Pennsylvania",Dauphin County,"49,528","Harrisburg, Dauphin County, Pennsylvania, USA",40.2663107,-76.8861122
"Altoona, Blair County, Pennsylvania",Blair County,"46,320","Altoona, Blair County, Pennsylvania, United States of America",40.518681,-78.394736
"York, York County, Pennsylvania",York County,"43,718","York, York County, Pennsylvania, United States of America",39.962398,-76.727392
"State College, Centre County, Pennsylvania",Centre County,"42,034","State College, Centre County, Pennsylvania, USA",40.7944504,-77.8616386
"Wilkes-Barre, Luzerne County, Pennsylvania",Luzerne County,"41,498","Wilkes-Barre, Luzerne County, Pennsylvania, USA",41.2464824,-75.8817316
"Norristown, Montgomery County, Pennsylvania",Montgomery County,"34,324","Norristown, Montgomery County, Pennsylvania, 19401, USA",40.121497,-75.3399048
"Chester, Delaware County, Pennsylvania",Delaware County,"33,972","Chester, Delaware County, Pennsylvania, 19013, USA",39.849557,-75.3557458
"Bethel Park, Allegheny County, Pennsylvania",Allegheny County,"32,313","Bethel Park, Allegheny County, Pennsylvania, 15102, USA",40.3275697,-80.0394977
"Williamsport, Lycoming County, Pennsylvania",Lycoming County,"29,381","Williamsport, Lycoming County, Pennsylvania, 17701, USA",41.2493292,-77.0027671
"Monroeville, Allegheny County, Pennsylvania",Allegheny County,"28,386","Monroeville, Allegheny County, Pennsylvania, 15146, United States of America",40.4211798,-79.7881025
"Drexel Hill, Delaware County, Pennsylvania",Delaware County,"28,043","Drexel Hill, Eldon Avenue, Lansdowne, Delaware County, Pennsylvania, 19026, USA",39.9483282,-75.30688779
"Plum, Allegheny County, Pennsylvania",Allegheny County,"27,126","Plum, Allegheny County, Pennsylvania, USA",40.5003457,-79.7494911
"Easton, Northampton County, Pennsylvania",Northampton County,"26,800","Easton, Northampton County, Pennsylvania, USA",40.6916081,-75.2099866
"Lebanon, Lebanon County, Pennsylvania",Lebanon County,"25,477","Lebanon, Lebanon County, Pennsylvania, USA",40.3429683,-76.4233816
"Hazleton, Luzerne County, Pennsylvania",Luzerne County,"25,340","Hazleton, Luzerne County, Pennsylvania, 18201, USA",40.9646867,-75.9852789
"New Castle, Lawrence County, Pennsylvania",Lawrence County,"23,273","New Castle, Lawrence County, Pennsylvania, 16101, USA",40.9999202,-80.3471856
"Pottstown, Montgomery County, Pennsylvania",Montgomery County,"22,377","Pottstown, Montgomery County, Pennsylvania, USA",40.2452976,-75.6496424
"Allison Park, Allegheny County, Pennsylvania",Allegheny County,"21,552","Allison Park, Allegheny County, Pennsylvania, 15101, USA",40.5584013,-79.9581094
"Johnstown, Cambria County, Pennsylvania",Cambria County,"20,978","Johnstown, Cambria County, Pennsylvania, USA",40.3267407,-78.9219698
"West Mifflin, Allegheny County, Pennsylvania",Allegheny County,"20,313","West Mifflin, Allegheny County, Pennsylvania, USA",40.3634026,-79.8664375
"Chambersburg, Franklin County, Pennsylvania",Franklin County,"20,268","Chambersburg, Franklin County, Pennsylvania, United States of America",39.9405903,-77.6598624
"Murrysville, Westmoreland County, Pennsylvania",Westmoreland County,"20,079","Murrysville, Westmoreland County, Pennsylvania, USA",40.4284015,-79.697545
"King of Prussia, Montgomery County, Pennsylvania",Montgomery County,"19,936","King of Prussia, Montgomery County, Pennsylvania, USA",40.0908111,-75.3832484
"Baldwin, Allegheny County, Pennsylvania",Allegheny County,"19,767","Baldwin, Allegheny County, Pennsylvania, 15236, USA",40.3381252,-79.9789405
"McKeesport, Allegheny County, Pennsylvania",Allegheny County,"19,731","McKeesport, Allegheny County, Pennsylvania, 15132, USA",40.3478472,-79.864215
"Upper St. Clair, Allegheny County, Pennsylvania",Allegheny County,"19,229","Upper St. Clair, Allegheny County, Pennsylvania, 15241, USA",40.3359029,-80.0833881
"Carlisle, Cumberland County, Pennsylvania",Cumberland County,"18,692","Carlisle, Cumberland County, Pennsylvania, 17013, USA",40.201499,-77.1890783
"West Chester, Chester County, Pennsylvania",Chester County,"18,461","West Chester, Chester County, Pennsylvania, 19383, United States of America",39.9597213,-75.6059638
"Phoenixville, Chester County, Pennsylvania",Chester County,"16,440","Phoenixville, Chester County, Pennsylvania, 19460, United States of America",40.1303822,-75.5149128
"Lansdale, Montgomery County, Pennsylvania",Montgomery County,"16,269","Lansdale, Montgomery County, Pennsylvania, 19446, USA",40.2414952,-75.2837862
"Hermitage, Mercer County, Pennsylvania",Mercer County,"16,220","Hermitage, Mercer County, Pennsylvania, USA",41.2333897,-80.44868
"Wilkinsburg, Allegheny County, Pennsylvania",Allegheny County,"15,930","Wilkinsburg, Allegheny County, Pennsylvania, 15221, USA",40.4417355,-79.8819942
"Willow Grove, Montgomery County, Pennsylvania",Montgomery County,"15,726","Willow Grove, Montgomery County, Pennsylvania, 19090, USA",40.1439985,-75.1157286
"Hanover, York County, Pennsylvania",York County,"15,289","Hanover, York County, Pennsylvania, 17331, USA",39.8063247,-76.9842735
"Fullerton, Lehigh County, Pennsylvania",Lehigh County,"14,926","Fullerton, Whitehall, Lehigh County, Pennsylvania, USA",40.63014985,-75.4853745
