Town,Per capita income,Location,Lat,Lon,County
"Far Hills, Somerset County, New Jersey","$81,535 ","Far Hills, Somerset County, New Jersey, USA",40.684268,-74.6357148,Somerset County
"Harding Township, Morris County, New Jersey","$72,689 ","Harding Township, Morris County, New Jersey, 07976, USA",40.743647,-74.50209229,Morris County
"Bernardsville, Somerset County, New Jersey","$69,854 ","Bernardsville, Somerset County, New Jersey, 07924, USA",40.7186805,-74.5692273,Somerset County
"Chatham Township, Morris County, New Jersey","$65,497 ","Chatham Township, Morris County, New Jersey, USA",40.73012395,-74.42511146,Morris County
"Tewksbury Township, Hunterdon County, New Jersey","$65,470 ","Tewksbury Township, Hunterdon County, New Jersey, USA",40.68446,-74.77872997,Hunterdon County
"Mountain Lakes, Morris County, New Jersey","$65,086 ","Mountain Lakes, Morris County, New Jersey, 07046, USA",40.8948212,-74.4329314,Morris County
"Mendham Township, Morris County, New Jersey","$61,460 ","Mendham Township, Morris County, New Jersey, USA",40.77872315,-74.56430241,Morris County
"Watchung, Somerset County, New Jersey","$58,653 ","Watchung, Somerset County, New Jersey, 07069, United States of America",40.6378801,-74.4509863,Somerset County
"Peapack-Gladstone, Somerset County, New Jersey","$56,542 ","Peapack-Gladstone, Somerset County, New Jersey, USA",40.717783,-74.65885196,Somerset County
"Bernards Township, Somerset County, New Jersey","$56,521 ","Bernards Township, Somerset County, New Jersey, USA",40.676207,-74.56335485,Somerset County
"Chester Township, Morris County, New Jersey","$55,353 ","Chester Township, Morris County, New Jersey, USA",40.78028655,-74.66720906,Morris County
"Morris Township, Morris County, New Jersey","$54,782 ","Morris Township, Morris County, New Jersey, USA",40.798799,-74.52084688,Morris County
"Bedminster Township, Somerset County, New Jersey","$53,549 ","Bedminster Township, Somerset County, New Jersey, USA",40.672849,-74.67769577,Somerset County
"Chatham, Morris County, New Jersey","$53,027 ","Chatham, Morris County, New Jersey, USA",40.7409242,-74.3836711,Morris County
"Warren Township, Somerset County, New Jersey","$49,475 ","Warren Township, Somerset County, New Jersey, USA",40.6306575,-74.52266908,Somerset County
"Montgomery Township, Somerset County, New Jersey","$48,699 ","Montgomery Township, Somerset County, New Jersey, USA",40.423478,-74.68626033,Somerset County
"Mendham, Morris County, New Jersey","$48,629 ","Mendham, Morris County, New Jersey, 07945, USA",40.7759334,-74.6007142,Morris County
"Rocky Hill, Somerset County, New Jersey","$48,357 ","Rocky Hill, Somerset County, New Jersey, 08553, USA",40.3998283,-74.6343244,Somerset County
"Allamuchy-Panther Valley, Warren County, New Jersey","$45,829 ","Allamuchy-Panther Valley, I 80, Long Bridge, Warren County, New Jersey, 07820, USA",40.916737,-74.82567366,Warren County
"Kinnelon, Morris County, New Jersey","$45,796 ","Kinnelon, Morris County, New Jersey, USA",41.0017644,-74.367096,Morris County
"Boonton Township, Morris County, New Jersey","$45,014 ","Boonton Township, Morris County, New Jersey, USA",40.9304681,-74.42844513,Morris County
"Allamuchy Township, Warren County, New Jersey","$43,552 ","Allamuchy, Warren County, New Jersey, 07820, USA",40.921765,-74.8101665,Warren County
"Montville, Morris County, New Jersey","$43,341 ","Montville, Morris County, New Jersey, 07045, USA",40.9148209,-74.383763,Morris County
"Randolph, Morris County, New Jersey","$43,072 ","Randolph Township, Morris County, New Jersey, USA",40.844265,-74.58572175,Morris County
"Long Hill Township, Morris County, New Jersey","$42,613 ","Long Hill Township, Morris County, New Jersey, USA",40.683393,-74.49043038,Morris County
"Chester, Morris County, New Jersey","$42,564 ","Chester, Morris County, New Jersey, USA",40.7842667,-74.6968284,Morris County
"Florham Park, Morris County, New Jersey","$42,133 ","Florham Park, Morris County, New Jersey, 07932, USA",40.787878,-74.3882072,Morris County
"Branchburg Township, Somerset County, New Jersey","$41,241 ","Branchburg Township, Somerset County, New Jersey, 08853, USA",40.5688245,-74.70027389,Somerset County
"Readington, Hunterdon County, New Jersey","$41,000 ","Readington, Hunterdon County, New Jersey, 08853, USA",40.5687141,-74.7376619,Hunterdon County
"Franklin Township, Hunterdon County, New Jersey","$39,668 ","Franklin Township, Hunterdon County, New Jersey, USA",40.567858,-74.9311225,Hunterdon County
"Bridgewater Township, New Jersey","$39,555 ","Bridgewater Township, Somerset County, New Jersey, USA",40.596061,-74.60386079,Somerset County
"Raritan Township, New Jersey","$38,919 ","Raritan Township, Hunterdon County, New Jersey, 08822, USA",40.510522,-74.89952004,Hunterdon County
