Town,County,Per capita income,Location,Lat,Lon
"Upper Makefield Township, Bucks County, Pennsylvania",Bucks County,"$56,288 ","Upper Makefield Township, Bucks County, Pennsylvania, 18977, USA",40.2956655,-74.9285311
"Solebury Township, Bucks County, Pennsylvania",Bucks County,"$52,985 ","Solebury Township, Bucks County, Pennsylvania, USA",40.3648096,-75.01394043
"New Hope, Bucks County, Pennsylvania",Bucks County,"$45,309 ","New Hope, Bucks County, Pennsylvania, USA",40.3642728,-74.9512785
"Lower Makefield Township, Bucks County, Pennsylvania",Bucks County,"$43,983 ","Lower Makefield Township, Bucks County, Pennsylvania, 19067, USA",40.2312713,-74.84670236
"Woodside, Bucks County, Pennsylvania",Bucks County,"$42,653 ","Woodside, Buford Drive, Lower Makefield Township, Bucks County, Pennsylvania, 19067, USA",40.2302275,-74.85937839
"Wrightstown Township, Bucks County, Pennsylvania",Bucks County,"$42,623 ","Wrightstown Township, Bucks County, Pennsylvania, USA",40.2659724,-75.0012441
"Doylestown Township, Bucks County, Pennsylvania",Bucks County,"$38,031 ","Doylestown Township, Bucks County, Pennsylvania, USA",40.30116125,-75.10312799
"Buckingham Township, Bucks County, Pennsylvania",Bucks County,"$35,735 ","Buckingham Township, Bucks County, Pennsylvania, USA",40.3165463,-75.04691929
"Newtown Township, Bucks County, Pennsylvania",Bucks County,"$34,335 ","Newtown Township, Bucks County, Pennsylvania, USA",40.2417393,-74.93974786
"Tinicum Township, Bucks County, Pennsylvania",Bucks County,"$34,321 ","Tinicum Township, Bucks County, Pennsylvania, USA",40.48732585,-75.11014772
"Woodbourne, Bucks County, Pennsylvania",Bucks County,"$33,821 ","Woodbourne, Sugarberry Lane, Middletown Township, Bucks County, Pennsylvania, 19047, USA",40.203278,-74.88844163
"Newtown, Bucks County, Pennsylvania",Bucks County,"$33,500 ","Newtown, Bucks County, Pennsylvania, 189440, USA",40.2294046,-74.9365329
"Newtown Grant, Pennsylvania",Bucks County,"$33,485 ","Newtown Grant, Sparrow Walk, Ravens View I, Newtown Township, Bucks County, Pennsylvania, 18940, USA",40.258715,-74.95532093
"Northampton Township, Bucks County, Pennsylvania",Bucks County,"$33,028 ","Northampton Township, Bucks County, Pennsylvania, USA",40.20943295,-75.00203151
"Yardley, Pennsylvania",Bucks County,"$32,802 ","Yardley, Bucks County, Pennsylvania, USA",40.245664,-74.8459972
"Churchville, Pennsylvania",Bucks County,"$32,507 ","Churchville, Georgianna Drive, Northampton Township, Bucks County, Pennsylvania, 18966, USA",40.1973955,-74.99828622
"Doylestown, Pennsylvania",Bucks County,"$32,249 ","Doylestown, Bucks County, Pennsylvania, 18901, USA",40.3100446,-75.1304588
"Village Shires, Pennsylvania",Bucks County,"$32,198 ","Village Shires, Netherlands Drive, Northampton Township, Bucks County, Pennsylvania, 18966, USA",40.201177,-74.97101133
"Richboro, Pennsylvania",Bucks County,"$31,954 ","Richboro, Cameo Drive, Northampton Township, Bucks County, Pennsylvania, 18954, USA",40.229682,-74.99948892
"Upper Milford Township, Lehigh County, Pennsylvania",Lehigh County,"$30,454 ","Upper Milford Township, Lehigh County, Pennsylvania, USA",40.4920793,-75.52302934
"Lower Saucon Township, Pennsylvania",Northampton County,"$30,280 ","Lower Saucon Township, Northampton County, Pennsylvania, USA",40.5901175,-75.29725095
"Lower Macungie Township, Lehigh County, Pennsylvania",Lehigh County,"$30,202 ","Lower Macungie Township Library & Community Center, North Brookside Road, Centreville, Lehigh County, Pennsylvania, 18062, United States of America",40.523052,-75.54746975
"Durham Township, Pennsylvania",Bucks County,"$29,913 ","Durham Township, Bucks County, Pennsylvania, USA",40.5725671,-75.21987113
"Warwick Township, Bucks County, Pennsylvania",Bucks County,"$29,734 ","Warwick Township, Bucks County, Pennsylvania, 18929, USA",40.24918545,-75.07643322
"Plumstead Township, Pennsylvania",Bucks County,"$29,411 ","Plumstead Township, Bucks County, Pennsylvania, USA",40.38609515,-75.11899585
"Hanover Township, Northampton County, Pennsylvania",Northampton County,"$29,370 ","Hanover Township, Northampton County, Pennsylvania, USA",40.6617641,-75.4124036
"Springfield Township, Bucks County, Pennsylvania",Bucks County,"$29,355 ","Springfield Township, Bucks County, Pennsylvania, USA",40.5249235,-75.28752806
"Bedminster Township, Pennsylvania",Bucks County,"$29,153 ","Bedminster Township, Bucks County, Pennsylvania, USA",40.41934585,-75.19208854
"Montgomeryville, Pennsylvania",Bucks County,"$28,967 ","Montgomeryville, Manor Drive, Remington Oaks, New Britain Township, Bucks County, Pennsylvania, 18914, USA",40.2498255,-75.23850066
"New Britain Township, Pennsylvania",Bucks County,"$28,923 ","New Britain Township, Bucks County, Pennsylvania, USA",40.30815835,-75.21643709
"Old Orchard, Pennsylvania",Northampton County,"$28,851 ","Old Orchard, Palmer Township, Northampton County, Pennsylvania, USA",40.6569025,-75.25971793
"Upper Macungie Township, Pennsylvania",Lehigh County,"$28,801 ","Upper Macungie Township, Lehigh County, Pennsylvania, USA",40.5650387,-75.62589682
"Lowhill Township, Pennsylvania",Lehigh County,"$28,317 ","Lowhill Township, Lehigh County, Pennsylvania, USA",40.6303845,-75.65157562
"Salisbury Township, Lehigh County, Pennsylvania",Lehigh County,"$28,073 ","Salisbury, Lehigh County, Pennsylvania, USA",40.57341185,-75.43251453
"Brittany Farms-Highlands, Pennsylvania",Bucks County,"$28,067 ","Brittany Farms-Highlands, Deerpath Road, Chalfont, Bucks County, Pennsylvania, 18914, USA",40.2692569,-75.21345527
"Upper Saucon Township, Pennsylvania",Lehigh County,"$27,606 ","Upper Saucon, Lehigh County, Pennsylvania, USA",40.53350905,-75.40618511
"Lower Milford Township, Pennsylvania",Lehigh County,"$27,572 ","Lower Milford, Lehigh County, Pennsylvania, USA",40.4634382,-75.47496158
"Schnecksville, Pennsylvania",Lehigh County,"$27,533 ","Schnecksville, North Whitehall Township, Lehigh County, Pennsylvania, 18078, USA",40.6763665,-75.62143246
"South Whitehall Township, Pennsylvania",Lehigh County,"$27,486 ","South Whitehall Township, Lehigh County, Pennsylvania, USA",40.6100129,-75.55765395
"Langhorne Manor, Pennsylvania",Bucks County,"$27,302 ","Langhorne Manor, Bucks County, Pennsylvania, USA",40.1670539,-74.9176664
"Williams Township, Northampton County, Pennsylvania",Northampton County,"$27,249 ","Williams Township, Northampton County, Pennsylvania, USA",40.63160995,-75.2291517
"Weisenberg Township, Pennsylvania",Lehigh County,"$27,163 ","Weisenberg, Lehigh County, Pennsylvania, 19530, USA",40.5850947,-75.7263025
"Macungie, Pennsylvania",Lehigh County,"$26,965 ","Macungie, Lehigh County, Pennsylvania, USA",40.5159304,-75.5551858
"Lower Nazareth Township, Pennsylvania",Northampton County,"$26,624 ","Lower Nazareth Township, Northampton County, Pennsylvania, 18045-8340, USA",40.7095912,-75.33005815
"Ivyland, Pennsylvania",Bucks County,"$26,525 ","Ivyland, Bucks County, Pennsylvania, USA",40.2078863,-75.0726707
"Upper Southampton Township, Pennsylvania",Bucks County,"$26,362 ","Upper Southampton Township, Bucks County, Pennsylvania, USA",40.17258825,-75.0351648
"Ancient Oaks, Pennsylvania",Lehigh County,"$26,360 ","Ancient Oaks, Lehigh County, Pennsylvania, USA",40.5473187,-75.5893535
"Chalfont, Pennsylvania",Bucks County,"$26,248 ","Chalfont, Bucks County, Pennsylvania, 18914, USA",40.29066735,-75.21070232
"Forks Township, Northampton County, Pennsylvania",Northampton County,"$26,180 ","Forks Township Elementary School Grounds, Chestnut Hill, Northampton County, Pennsylvania, USA",40.71495005,-75.21287242
"Nockamixon Township, Pennsylvania",Bucks County,"$26,145 ","Nockamixon Township, Bucks County, Pennsylvania, USA",40.52350915,-75.17092463
"Warrington Township, Bucks County, Pennsylvania",Bucks County,"$25,810 ","Warrington Township, Bucks County, Pennsylvania, 18976, USA",40.2483149,-75.15900251
"Hilltown Township, Pennsylvania",Bucks County,"$25,800 ","Hilltown Township, Bucks County, Pennsylvania, USA",40.34217545,-75.23457505
"Palmer Township, Pennsylvania",Northampton County,"$25,722 ","Palmer Township, Northampton County, Pennsylvania, USA",40.700542,-75.26025904
"Haycock Township, Pennsylvania",Bucks County,"$25,431 ","Haycock Township, Bucks County, Pennsylvania, USA",40.4731795,-75.24803395
"Middletown Township, Bucks County, Pennsylvania",Bucks County,"$25,213 ","Middletown Township, Bucks County, Pennsylvania, USA",40.1784423,-74.89305747
"Bethlehem Township, Pennsylvania",Northampton County,"$25,141 ","Bethlehem Township, Northampton County, Pennsylvania, USA",40.6592661,-75.30610856
"West Rockhill Township, Pennsylvania",Bucks County,"$25,026 ","West Rockhill, Bucks County, Pennsylvania, USA",40.36754495,-75.35849198
"North Whitehall Township, Pennsylvania",Lehigh County,"$24,983 ","North Whitehall Township, Lehigh County, Pennsylvania, USA",40.67835725,-75.5897736
