Town,County,Population,Location,Lat,Lon
"Allentown, Lehigh County, Pennsylvania",Lehigh County,"118,032","Allentown, Lehigh County, Pennsylvania, USA",40.6022059,-75.4712794
"Bethlehem, Lehigh & Northampton County, Pennsylvania",Northampton County,"74,982","Bethlehem Municipal Ice Rink, Illick's Mill Road, Bethlehem, Northampton County, Pennsylvania, 18107, USA",40.64025165,-75.38455503
"Levittown, Bucks County, Pennsylvania",Bucks County,"52,983","Levittown, Haines Road, Bristol Township, Bucks County, Pennsylvania, 19055, USA",40.1573365,-74.83227963
"Easton, Northampton County, Pennsylvania",Northampton County,"26,800","Easton, Northampton County, Pennsylvania, USA",40.6916081,-75.2099866
"Fullerton, Lehigh County, Pennsylvania",Lehigh County,"14,926","Fullerton, Whitehall, Lehigh County, Pennsylvania, USA",40.63014985,-75.4853745
"Montgomeryville, Pennsylvania",Bucks County,"12,624","Montgomeryville, Manor Drive, Remington Oaks, New Britain Township, Bucks County, Pennsylvania, 18914, USA",40.2498255,-75.23850066
"Emmaus, Pennsylvania",Lehigh County,"11,211","Emmaus, Lehigh County, Pennsylvania, 18049, USA",40.5395421,-75.4968502
"Croydon, Pennsylvania",Bucks County,"9,950","Croydon, Maryland Avenue, Bristol Township, Bucks County, Pennsylvania, 19021, USA",40.0894885,-74.89808049
"Northampton, Pennsylvania",Northampton County,"9,926","Northampton County, Pennsylvania, United States of America",40.7451356,-75.3289302
"East Stroudsburg, Pennsylvania",Monroe County,"9,840","East Stroudsburg, Monroe County, Pennsylvania, 18301, USA",40.9995386,-75.1812913
"Bristol, Pennsylvania",Bucks County,"9,726","Bristol, Bucks County, Pennsylvania, USA",40.1006661,-74.8518311
"Quakertown, Pennsylvania",Bucks County,"8,979","Quakertown, Bucks County, Pennsylvania, USA",40.4417682,-75.3415667
"Morrisville, Pennsylvania",Bucks County,"8,728","Morrisville, Bucks County, Pennsylvania, USA",40.2114978,-74.7879399
"Perkasie, Pennsylvania",Bucks County,"8,511","Perkasie, Bucks County, Pennsylvania, USA",40.372048,-75.292676
"Fairless Hills, Pennsylvania",Bucks County,"8,466","Fairless Hills, Trenton Road, Middletown Township, Bucks County, Pennsylvania, 19030-4005, USA",40.178142,-74.85644459
"Doylestown, Pennsylvania",Bucks County,"8,380","Doylestown, Bucks County, Pennsylvania, 18901, USA",40.3100446,-75.1304588
"Ancient Oaks, Pennsylvania",Lehigh County,"6,661","Ancient Oaks, Lehigh County, Pennsylvania, USA",40.5473187,-75.5893535
"Richboro, Pennsylvania",Bucks County,"6,563","Richboro, Cameo Drive, Northampton Township, Bucks County, Pennsylvania, 18954, USA",40.229682,-74.99948892
"Catasauqua, Pennsylvania",Lehigh County,"6,436","Catasauqua, Lehigh County, Pennsylvania, 18032, USA",40.6548191,-75.4746273
"Arlington Heights, Pennsylvania",Monroe County,"6,333","Arlington Heights, Monroe County, Pennsylvania, USA",40.9900938,-75.2162923
"Hellertown, Pennsylvania",Northampton County,"5,898","Hellertown, Northampton County, Pennsylvania, USA",40.58168445,-75.33606128
"Wescosville, Pennsylvania",Lehigh County,"5,872","Wescosville, Lehigh County, Pennsylvania, 18106, USA",40.5667635,-75.5529632
"Nazareth, Pennsylvania",Northampton County,"5,746","Nazareth, Northampton County, Pennsylvania, USA",40.7423309,-75.3112095
"Stroudsburg, Pennsylvania",Monroe County,"5,567","Stroudsburg, Monroe County, Pennsylvania, 18360, USA",40.9867609,-75.1946248
"Bangor, Pennsylvania",Northampton County,"5,273","Bangor, Northampton County, Pennsylvania, USA",40.8656515,-75.2065677
